"ISO3","National Unit","Name","Admin Level","Metric","Units","Year","Value"
"GHA","Ghana","Upper East","admin1","Use Rate","in 100 people",2018,87.6896613933
"GHA","Ghana","Upper East","admin1","Use Rate","in 100 people",2019,88.7532867673
"GHA","Ghana","Upper East","admin1","Use Rate","in 100 people",2020,84.68352018619998
"GHA","Ghana","Upper East","admin1","Use Rate","in 100 people",2021,88.70372604410001
"GHA","Ghana","Upper East","admin1","Use Rate","in 100 people",2022,89.2986704195
"GHA","Ghana","Upper East","admin1","Access","in 100 people",2010,16.778638415499998
"GHA","Ghana","Upper East","admin1","Access","in 100 people",2011,32.8218422543
"GHA","Ghana","Upper East","admin1","Access","in 100 people",2012,62.26155019749999
"GHA","Ghana","Upper East","admin1","Access","in 100 people",2013,63.669332274800006
"GHA","Ghana","Upper East","admin1","Access","in 100 people",2014,57.8246761018
"GHA","Ghana","Upper East","admin1","Access","in 100 people",2015,71.32784844359999
"GHA","Ghana","Upper East","admin1","Access","in 100 people",2016,84.3345058379
"GHA","Ghana","Upper East","admin1","Access","in 100 people",2017,82.628379214
"GHA","Ghana","Upper East","admin1","Access","in 100 people",2018,85.64508059199999
"GHA","Ghana","Upper East","admin1","Access","in 100 people",2019,76.74286556890002
"GHA","Ghana","Upper East","admin1","Access","in 100 people",2020,66.36592270620001
"GHA","Ghana","Upper East","admin1","Access","in 100 people",2021,79.7487896243
"GHA","Ghana","Upper East","admin1","Access","in 100 people",2022,79.8880639445
"GHA","Ghana","Ahafo","admin1","Use","in 100 people",2010,18.08750199
"GHA","Ghana","Ahafo","admin1","Use","in 100 people",2011,30.7551981879
"GHA","Ghana","Ahafo","admin1","Use","in 100 people",2012,51.041097077699995
